code,affiliation_code,set_code,name,subtitle,type_code,points,BoFpoints,cost,health,side1,side2,side3,side4,side5,side6,faction_code,text,deck_limit,flavor,has_die,has_errata,illustrator,is_unique,position,rarity_code,ttscardid,subtype1,subtype2,subtype3,reprint_of
"""14003""",villain,FA,Second Sister,Expert Duellist,character, 10/13,NA,NA,11,1MD,1F,1Sh,1R,Sp,-,blue,"After you activate this character, turn an opponent's die to a side showing on one of this character's character dice.\n[special] - Turn another one of your character dice to any side and resolve it, increasing its value by 1, or by 2 instead of it is showing the same symbol as an opponent's die.",1,NA,TRUE,FALSE,ARN,TRUE,3,S,NA,inquisitor,NA,NA,NA
"""14007""",villain,FA,Unending Hate,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Spot a <b>Sith</b> or an <b>Inquisitor</b> to turn an opponent's die to a side showing a blank ([blank]). Then deal damage to a character equal to the number of dice in that opponent's pool showing damage.,2,NA,FALSE,FALSE,ARN,FALSE,7,S,NA,NA,NA,NA,NA
"""14012""",villain,FA,Sith Warblade,NA,upgrade,NA,NA,3,NA,2MD,3MD,+4MD1,1Sh,1R,-,blue,"Redeploy.\nBefore you resolve this die, deal 1 damage to attached character.",2,NA,TRUE,FALSE,ARN,FALSE,12,S,NA,weapon,NA,NA,NA
"""14015""",villain,FA,FN-2199,Fierce Fighter,character, 10/13,NA,NA,9,0RD,1MD,2MD,3MD1,1R,-,red,"After setup, you may look at the top 4 cards of your deck, reveal a <b>weapon</b> from among them, and add it to your hand.\n<b>Power Action</b> - Roll a die on a <b>weapon</b> on this character into your pool and resolve it if able. Otherwise, remove it.",1,NA,TRUE,FALSE,ARN,TRUE,15,S,NA,trooper,NA,NA,NA
"""14016""",villain,FA,Exposing Disloyalty,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Look at 2 random cards in an opponent's hand. Then, if those cards do not share a color, discard one of them.",2,NA,FALSE,FALSE,ARN,FALSE,16,S,NA,NA,NA,NA,NA
"""14019""",villain,FA,TIE Striker,NA,support,NA,NA,3,NA,2RD,+3RD,2ID,3ID1,2Dr,-,red,"<b>Action</b> - If an opponent activated a <b>vehicle</b> during their last turn this round, you may discard another card from your hand to play this <b>vehicle</b> for free. After the upkeep phase begins, discard this support from play unless you discard the top 4 cards of your deck.",2,NA,TRUE,FALSE,ARN,FALSE,19,S,NA,vehicle,NA,NA,NA
"""14031""",hero,FA,Cal Kestis,Jedi In Hiding,character, 11/15,NA,NA,11,1MD,2MD,+2MD,1Sh,1R,-,blue,"You cannot play non-blue upgrades on this character.\nBefore you resolve this die, increase its value by 1 if you have an equipment, weapon and ability attached to this character.",1,NA,TRUE,FALSE,Nicole Tammert,TRUE,31,S,NA,jedi,NA,NA,NA
"""14036""",hero,FA,BD-1,NA,upgrade,NA,NA,1,NA,1MD,1F,1Sh,1Sh,Sp,-,blue,<b>Power Action</b> - Spot a <b>Jedi</b> to move this upgrade to it.\n[special] - Heal 2 damage from attached character.,2,NA,TRUE,FALSE,ARN,TRUE,36,S,NA,equipment,droid,NA,NA
"""14040""",hero,FA,Cassian Andor,Rebellion Operative,character, 10/12,NA,NA,10,+1RD,+2RD,1F,1Dr,1R,-,red,"Detect.\nYou can include up to 4 different <b>intel</b> cards in your deck, ignoring affiliation and color.\n<b>Power Action</b> - Play a yellow card from your hand. Then you may spot a <b>leader</b> to ready a non-character card.",1,NA,TRUE,FALSE,ARN,TRUE,40,S,NA,spy,NA,NA,NA
"""14042""",hero,FA,Jyn Erso,Rebellion Operative,character, 15/19,NA,NA,13,2RD,3RD,3ID,2Dr,1R,-,red,Detect.\nDetected cards cannot be played by opponents.\n<b>Power Action</b> - Discard a card from your hand to discard a detected card from the opponent's hand.,1,NA,TRUE,FALSE,ARN,TRUE,42,S,NA,leader,spy,NA,NA
